2016/5/27 13:23:04 [Info] Server started at ws://192.168.16.250:8484 (actual port 8484) 
[20160527 13:23:08.871][16][Normal][KGameServer.ServerInst+<>c__DisplayClass4.<Init>b__1]	OnOpen

[20160527 13:23:08.872][10][Normal][KGameServer.ServerInst.SocketConnected]	Entered SocketConnected

[20160527 13:23:08.873][10][Normal][KGameServer.ServerInst.SocketConnected]	Connected

[20160527 13:23:08.875][10][Normal][KGameServer.ServerInst.ProcessPreReceievedMessage]	为连接:[192.168.16.250:46761][0:] 处理没有来源的消息

[20160527 13:23:08.875][10][Normal][KGameServer.ServerInst.ProcessPreReceievedMessage]	noResourceMessageDict中，无来源的消息共有0 个来源

[20160527 13:23:08.876][19][Normal][KGameServer.ServerInst+<>c__DisplayClass4.<Init>b__3]	OnMessage:message=0|v100a#303120#null|

[20160527 13:23:08.877][10][Normal][KGameServer.PlayerConnectionMap.GetPlayerConnection]	playerConnectionDict key count=1

[20160527 13:23:08.881][10][Normal][KGameServer.PlayerConnection.ProcessUserLogin]	用户登录,用户名:v100a 密码:303120 来源:null

[20160527 13:23:08.882][10][Normal][KGameServer.DBManager.ValidateUser]	ValidateUser username=v100a password=303120 source=null

[20160527 13:23:08.987][10][Normal][KGameServer.DBManager.ValidateUserFromSource_Self]	sql:SELECT id FROM kgame.tbl_user where UserName=?UserName and PWD=?Password and ISNULL(SOURCE)

[20160527 13:23:08.991][10][Normal][KGameServer.DBManager.ValidateUserFromSource_Self]	userid=1

[20160527 13:23:08.993][10][Normal][KGameServer.PlayerConnection.ProcessUserLogin]	useridRet=1

[20160527 13:23:08.995][10][Normal][KGameServer.PlayerConnection.ProcessUserLogin]	发送信息:1|v100a|

[20160527 13:23:09.001][19][Normal][KGameServer.ServerInst+<>c__DisplayClass4.<Init>b__3]	OnMessage:message=3|0|

[20160527 13:23:09.004][10][Normal][KGameServer.PlayerConnectionMap.GetPlayerConnection]	playerConnectionDict key count=1

[20160527 13:23:09.005][10][Normal][KGameServer.MatchMaker.BeginNewMatchForSinglePlayer]	准备开始一场单人游戏:[192.168.16.250:46761][1:v100a]

[20160527 13:23:09.008][10][Normal][KGameServer.Match.Start]	1人局开始: [1:] 

[20160527 13:23:09.008][10][Normal][KGameServer.HisDataMng.RequestHistoryData]	RequestHistoryData 请求

[20160527 13:23:09.008][10][Normal][KGameServer.HisDataMng.RequestHistoryData]	入队结束

[20160527 13:23:09.008][12][Normal][KGameServer.HisDataMng.MainProcessThread]	hisDataRequestList 出队，hisDataRequestList中个数为:1

[20160527 13:23:09.017][12][Normal][KGameServer.HisDataMng.MainProcessThread]	数据库已经打开

[20160527 13:23:09.019][12][Normal][KGameServer.HisDataMng.RefreshCodeInfoList]	mutexForCodeInfoDict Passed

[20160527 13:23:09.023][12][Normal][KGameServer.HisDataMng.RefreshCodeInfoList]	mutexForCodeInfoDict Released

[20160527 13:23:09.023][12][Normal][KGameServer.HisDataMng.MainProcessThread]	RefreshCodeInfoList 已经完成

[20160527 13:23:09.027][12][Normal][KGameServer.HisDataMng.ProcessHisDataRequest]	ProcessHisDataRequest hisDataRequest

[20160527 13:23:10.607][12][Normal][KGameServer.HisDataMng.ProcessHisDataRequest]	codeInfoDict.Keys.Count=91

[20160527 13:23:10.607][12][Normal][KGameServer.HisDataMng.ProcessHisDataRequest]	codeInfoIndex=59

[20160527 13:23:10.607][12][Normal][KGameServer.HisDataMng.ProcessHisDataRequest]	totalCandleCount=360

[20160527 13:23:10.607][12][Normal][KGameServer.HisDataMng.ProcessHisDataRequest]	codeInfo=沪铜主连 XSGE

[20160527 13:23:10.608][12][Normal][KGameServer.HisDataMng.ProcessHisDataRequest]	随机数据，codeInfo=沪铜主连 XSGE ,startIndex=282

[20160527 13:23:11.532][12][Normal][KGameServer.HisDataMng.ProcessHisDataRequest]	获得到了历史数据，开始调用回调函数

